Name,Year,Directors,#directors,#genres,DecadeofRelease,Certified,Duration(min),Ratings,Votes,LikePrediction(%),Gross(millionsUS$)
The Father (I),2020,Florian Zeller,1,1,2020,UA,97,8.3,72241,88.0,
The Shawshank Redemption,1994,Frank Darabont,1,1,1990,A,142,9.3,2409586,80.0,28.34
Once Upon a Time... in Hollywood,2019,Quentin Tarantino,1,2,2010,A,161,7.6,591159,83.0,142.5
The Big Lebowski,1998,"Joel Coen, Ethan Coen",2,3,1990,UA,117,8.1,749729,71.0,17.5
Joker,2019,Todd Phillips,1,3,2010,A,122,8.4,1013605,59.0,335.45
Raiders of the Lost Ark,1981,Steven Spielberg,1,2,1980,A,115,8.4,901293,85.0,248.16
The Godfather,1972,Francis Ford Coppola,1,2,1970,A,175,9.2,1667300,100.0,134.97
Titanic,1997,James Cameron,1,2,1990,UA,194,7.8,1074306,75.0,659.33
Gisaengchung,2019,Bong Joon Ho,1,3,2010,A,132,8.6,620854,96.0,53.37
Thor: Ragnarok,2017,Taika Waititi,1,3,2010,UA,130,7.9,620078,74.0,315.06
Interstellar,2014,Christopher Nolan,1,3,2010,UA,169,8.6,1570854,74.0,188.02
The Dark Knight,2008,Christopher Nolan,1,3,2000,UA,152,9.0,2368467,84.0,534.86
Knives Out,2019,Rian Johnson,1,3,2010,UA,130,7.9,498796,82.0,165.36
Flipped (I),2010,Rob Reiner,1,3,2010,PG,90,7.7,83984,45.0,1.75
Pulp Fiction,1994,Quentin Tarantino,1,2,1990,A,154,8.9,1871130,94.0,107.93
Druk,2020,Thomas Vinterberg,1,2,2020,PG,117,7.8,85019,80.0,
Back to the Future,1985,Robert Zemeckis,1,3,1980,U,116,8.5,1087937,87.0,210.61
Gladiator,2000,Ridley Scott,1,3,2000,UA,155,8.5,1373278,67.0,187.71
Hamilton,2020,Thomas Kail,1,3,2020,PG,160,8.4,66733,90.0,
Avengers: Infinity War,2018,"Anthony Russo, Joe Russo",2,3,2010,UA,149,8.4,887395,68.0,678.82
Shutter Island,2010,Martin Scorsese,1,2,2010,A,138,8.2,1167555,63.0,128.01
Forrest Gump,1994,Robert Zemeckis,1,2,1990,UA,142,8.8,1861623,82.0,330.25
No Country for Old Men,2007,"Ethan Coen, Joel Coen",2,3,2000,PG,122,8.1,881776,91.0,74.28
Dazed and Confused,1993,Richard Linklater,1,1,1990,U,102,7.6,170720,78.0,7.99
Tombstone,1993,"George P. Cosmatos, Kevin Jarre",2,3,1990,UA,130,7.8,131269,50.0,56.51
Sound of Metal,2019,Darius Marder,1,2,2010,PG,120,7.8,93362,82.0,
Guardians of the Galaxy,2014,James Gunn,1,3,2010,UA,121,8.0,1069530,76.0,333.18
Inglourious Basterds,2009,Quentin Tarantino,1,3,2000,A,153,8.3,1304869,69.0,120.54
Saving Private Ryan,1998,Steven Spielberg,1,2,1990,A,169,8.6,1268625,91.0,216.54
The Goonies,1985,Richard Donner,1,3,1980,U,114,7.8,250276,62.0,61.5
The Departed,2006,Martin Scorsese,1,3,2000,A,151,8.5,1218575,85.0,132.38
Blade Runner 2049,2017,Denis Villeneuve,1,3,2010,UA,164,8.0,482439,81.0,92.05
The Matrix,1999,"Lana Wachowski, Lilly Wachowski",2,2,1990,A,136,8.7,1718623,73.0,171.48
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,1,3,2010,UA,130,8.1,786564,85.0,381.01
